"NAME" "SEASON" "GAME_NUM" "DATE" "TEAM" "OPP" "THREE_PT" "THREE_PT_ATTEMPT" "THREE_PT_PCT"
"Ray Allen" "05-06" 60 "2006-03-14" "SEA" "PHO" 5 9 0
"Ray Allen" "05-06" 61 "2006-03-16" "SEA" "PHI" 4 7 0
"Ray Allen" "05-06" 62 "2006-03-21" "SEA" "SAC" 3 10 0
"Ray Allen" "05-06" 63 "2006-03-22" "SEA" "MIL" 0 4 0
"Ray Allen" "05-06" 64 "2006-03-24" "SEA" "DEN" 1 8 0
"Ray Allen" "05-06" 65 "2006-03-26" "SEA" "SAS" 5 6 0
"Ray Allen" "05-06" 66 "2006-03-28" "SEA" "MEM" 3 8 0
"Ray Allen" "05-06" 67 "2006-03-29" "SEA" "HOU" 1 6 0
"Ray Allen" "05-06" 68 "2006-03-31" "SEA" "LAL" 5 13 0
"Ray Allen" "05-06" 69 "2006-04-02" "SEA" "POR" 3 5 0
"Ray Allen" "05-06" 70 "2006-04-04" "SEA" "HOU" 3 9 0
"Ray Allen" "05-06" 71 "2006-04-07" "SEA" "POR" 4 6 0
"Ray Allen" "05-06" 72 "2006-04-09" "SEA" "PHO" 4 9 0
"Ray Allen" "05-06" 73 "2006-04-11" "SEA" "SAS" 2 4 0
"Ray Allen" "05-06" 74 "2006-04-12" "SEA" "NOK" 6 9 0
"Ray Allen" "05-06" 75 "2006-04-14" "SEA" "LAC" 5 12 0
"Ray Allen" "05-06" 76 "2006-04-16" "SEA" "LAC" 4 8 0
"Ray Allen" "05-06" 77 "2006-04-18" "SEA" "SAC" 4 11 0
"Ray Allen" "05-06" 78 "2006-04-19" "SEA" "DEN" 7 13 0
"Stephen Curry" "12-13" 1 "2012-10-31" "GSW" "PHO" 0 6 0
"Stephen Curry" "12-13" 2 "2012-11-02" "GSW" "MEM" 6 10 0
"Stephen Curry" "12-13" 3 "2012-11-03" "GSW" "LAC" 2 7 0
"Stephen Curry" "12-13" 4 "2012-11-05" "GSW" "SAC" 2 6 0
"Stephen Curry" "12-13" 5 "2012-11-07" "GSW" "CLE" 2 6 0
"Stephen Curry" "12-13" 6 "2012-11-09" "GSW" "LAL" 2 6 0
"Stephen Curry" "12-13" 7 "2012-11-10" "GSW" "DEN" 3 6 0
"Stephen Curry" "12-13" 8 "2012-11-14" "GSW" "ATL" 0 5 0
"Stephen Curry" "12-13" 9 "2012-11-16" "GSW" "MIN" 0 3 0
"Stephen Curry" "12-13" 10 "2012-11-18" "GSW" "OKC" 4 8 0
"Stephen Curry" "12-13" 11 "2012-11-19" "GSW" "DAL" 3 7 0
"Stephen Curry" "12-13" 12 "2012-11-21" "GSW" "BRK" 2 4 0
"Stephen Curry" "12-13" 13 "2012-11-23" "GSW" "DEN" 2 2 1
"Stephen Curry" "12-13" 14 "2012-11-24" "GSW" "MIN" 5 10 0
"Stephen Curry" "12-13" 15 "2012-11-29" "GSW" "DEN" 4 7 0
"Stephen Curry" "12-13" 16 "2012-12-01" "GSW" "IND" 3 5 0
"Stephen Curry" "12-13" 17 "2012-12-03" "GSW" "ORL" 3 6 0
"Stephen Curry" "12-13" 18 "2012-12-05" "GSW" "DET" 4 6 0
"Stephen Curry" "12-13" 19 "2012-12-07" "GSW" "BRK" 5 9 0
"Stephen Curry" "12-13" 20 "2012-12-08" "GSW" "WAS" 2 8 0
"Stephen Curry" "12-13" 21 "2012-12-10" "GSW" "CHA" 4 7 0
"Stephen Curry" "12-13" 22 "2012-12-12" "GSW" "MIA" 1 3 0
"Stephen Curry" "12-13" 23 "2012-12-14" "GSW" "ORL" 2 5 0
"Stephen Curry" "12-13" 24 "2012-12-15" "GSW" "ATL" 3 11 0
"Stephen Curry" "12-13" 25 "2012-12-18" "GSW" "NOH" 1 3 0
"Stephen Curry" "12-13" 26 "2012-12-19" "GSW" "SAC" 7 12 0
"Stephen Curry" "12-13" 27 "2012-12-21" "GSW" "CHA" 8 13 0
"Stephen Curry" "12-13" 28 "2012-12-22" "GSW" "LAL" 3 10 0
"Stephen Curry" "12-13" 29 "2012-12-26" "GSW" "UTA" 4 7 0
"Stephen Curry" "12-13" 30 "2012-12-28" "GSW" "PHI" 1 4 0
"Stephen Curry" "12-13" 31 "2012-12-29" "GSW" "BOS" 4 5 0
"Stephen Curry" "12-13" 32 "2013-01-02" "GSW" "LAC" 6 8 0
"Stephen Curry" "12-13" 33 "2013-01-05" "GSW" "LAC" 1 5 0
"Stephen Curry" "12-13" 34 "2013-01-09" "GSW" "MEM" 4 8 0
"Stephen Curry" "12-13" 35 "2013-01-11" "GSW" "POR" 3 8 0
"Stephen Curry" "12-13" 36 "2013-01-13" "GSW" "DEN" 7 9 0
"Stephen Curry" "12-13" 37 "2013-01-19" "GSW" "NOH" 2 8 0
"Stephen Curry" "12-13" 38 "2013-01-21" "GSW" "LAC" 6 8 0
"Stephen Curry" "12-13" 39 "2013-01-23" "GSW" "OKC" 3 14 0
"Stephen Curry" "12-13" 40 "2013-01-25" "GSW" "CHI" 3 7 0
"Stephen Curry" "12-13" 41 "2013-01-26" "GSW" "MIL" 5 9 0
"Stephen Curry" "12-13" 42 "2013-01-28" "GSW" "TOR" 1 3 0
"Stephen Curry" "12-13" 43 "2013-02-02" "GSW" "PHO" 6 10 0
"Stephen Curry" "12-13" 44 "2013-02-05" "GSW" "HOU" 1 5 0
"Stephen Curry" "12-13" 45 "2013-02-06" "GSW" "OKC" 2 7 0
"Stephen Curry" "12-13" 46 "2013-02-08" "GSW" "MEM" 4 9 0
"Stephen Curry" "12-13" 47 "2013-02-09" "GSW" "DAL" 1 3 0
"Stephen Curry" "12-13" 48 "2013-02-12" "GSW" "HOU" 2 5 0
"Stephen Curry" "12-13" 49 "2013-02-19" "GSW" "UTA" 4 9 0
"Stephen Curry" "12-13" 50 "2013-02-20" "GSW" "PHO" 2 6 0
"Stephen Curry" "12-13" 51 "2013-02-22" "GSW" "SAS" 3 9 0
"Stephen Curry" "12-13" 52 "2013-02-24" "GSW" "MIN" 1 5 0
"Stephen Curry" "12-13" 53 "2013-02-26" "GSW" "IND" 7 10 0
"Stephen Curry" "12-13" 54 "2013-02-27" "GSW" "NYK" 11 13 0
"Stephen Curry" "12-13" 55 "2013-03-01" "GSW" "BOS" 3 11 0
"Stephen Curry" "12-13" 56 "2013-03-02" "GSW" "PHI" 3 9 0
"Stephen Curry" "12-13" 57 "2013-03-04" "GSW" "TOR" 2 5 0
"Stephen Curry" "12-13" 58 "2013-03-06" "GSW" "SAC" 2 5 0
"Stephen Curry" "12-13" 59 "2013-03-08" "GSW" "HOU" 3 8 0
